family,comparator,n,full_mean_loss,comparator_mean_loss,mean_delta_full_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,holm_direction,attack,scenario
A1-persistent-ratio,Window-COWA,20,0.2668269230769231,0.24807692307692308,0.018749999999999985,0.010096153846153817,0.027884615384615376,0.000885009765625,0.8431372549019608,duck,3/10,0.004425048828125,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.5158653846153846,0.3274038461538461,0.18846153846153846,0.1548076923076923,0.22403846153846155,1.9073486328125e-06,1.0,duck,7/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.7668269230769231,0.5514423076923076,0.21538461538461537,0.19375,0.23557692307692307,1.9073486328125e-06,1.0,duck,9/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.2544245878195836,0.24615534162707547,0.008269246192508168,0.006775981628184242,0.009785300677687401,1.9073486328125e-06,1.0,product,1/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.44886183480215835,0.42024786436937484,0.02861397043278357,0.026667544835336354,0.030677476101754652,1.9073486328125e-06,1.0,product,1/2,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.3527798091678218,0.3307125526568673,0.022067256510954546,0.019742565874792527,0.024447812005656988,1.9073486328125e-06,1.0,product,3/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.5328119215139975,0.5011487732384854,0.03166314827551212,0.02974755222232742,0.033469826525075325,1.9073486328125e-06,1.0,product,7/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.6962678290411464,0.6621592647866995,0.03410856425444683,0.032935827146591656,0.035433336557530705,1.9073486328125e-06,1.0,product,9/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,9,0.026135729507002044,0.03105112815629063,-0.004915398649288586,-0.005694213341856486,-0.004213824462581612,0.00390625,-1.0,weather,1/10,0.009366989135742188,True,full_win,full_win,,
A1-persistent-ratio,Window-COWA,20,0.11063552227766446,0.12769829342772407,-0.017062771150059608,-0.01861325978704574,-0.01558552534989198,1.9073486328125e-06,-1.0,weather,1/2,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Window-COWA,20,0.053985505764184226,0.07272301911787354,-0.01873751335368932,-0.019540856545429204,-0.01790749567024254,1.9073486328125e-06,-1.0,weather,3/10,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Window-COWA,20,0.1507228709827862,0.15914664465032374,-0.008423773667537554,-0.01048370414070309,-0.006428401847464718,1.9073486328125e-06,-1.0,weather,7/10,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Window-COWA,9,0.2464817411156145,0.23798783198699644,0.008493909128618027,0.006776282375025683,0.010490929493464798,0.00390625,1.0,weather,9/10,0.009366989135742188,True,comparator_win,comparator_win,,
A2-attack-rho07,Window-COWA,20,0.6077221671839448,0.4805776517788276,0.12714451540511715,0.11874693186071185,0.13504557429495156,1.9073486328125e-06,1.0,dog,,2.288818359375e-05,True,comparator_win,comparator_win,collusive,
A2-attack-rho07,Window-COWA,20,0.4034920792229338,0.389040458750774,0.014451620472159879,0.008674117290894467,0.020570828120112124,9.918212890625e-05,0.8761904761904762,dog,,0.00089263916015625,True,comparator_win,comparator_win,on_off,
A2-attack-rho07,Window-COWA,20,0.32001345843027845,0.30864575512375414,0.011367703306524283,0.006025312448502605,0.016417943660462574,0.0008831024169921875,0.7904761904761904,dog,,0.0070648193359375,True,comparator_win,comparator_win,random,
A2-attack-rho07,Window-COWA,20,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,1.0,0.0,duck,,1.0,False,tie,not_significant,collusive,
