family,contrast,n,candidate_mean_loss,comparator_mean_loss,mean_delta_candidate_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,attack,scenario
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.13400769087519276,0.16426607208642496,-0.030258381211232185,-0.03087712456643368,-0.029622376757502844,6.103515625e-05,-1.0,weather,,0.00048828125,True,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.024132658176508677,0.02495026797665246,-0.0008176098001437821,-0.0008340156631889838,-0.0008009988762507271,6.103515625e-05,-1.0,weather,,0.00048828125,True,candidate_win,,malicious_to_benign
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.18272626375796733,0.18034545571759394,0.0023808080403733686,-0.00032294671807172123,0.005033477872234341,0.1035919189453125,0.47619047619047616,dog,1/10,0.591796875,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.34863600751374474,0.35097892128879915,-0.002342913775054401,-0.005734058299312063,0.0011954585842544373,0.20775604248046875,-0.3523809523809524,dog,1/2,0.591796875,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.23149909228397902,0.22964362018675394,0.0018554720972250676,-0.0007501735697521964,0.0044974341751443,0.18928909301757812,0.29523809523809524,dog,3/10,0.591796875,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.5676610786292716,0.5899558186687864,-0.02229474003951477,-0.02680882623107138,-0.01780112877571376,1.9073486328125e-06,-1.0,dog,7/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.7992004685674616,0.8230536124872632,-0.0238531439198016,-0.028609906704553958,-0.0194458420432416,1.9073486328125e-06,-1.0,dog,9/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.26105769230769227,0.25576923076923075,0.005288461538461535,-2.7957237219711194e-17,0.01057692307692309,0.0986328125,0.5604395604395604,duck,1/10,0.591796875,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.29471153846153847,0.2730769230769231,0.021634615384615374,0.016346153846153837,0.026923076923076904,7.62939453125e-06,1.0,duck,1/2,0.0001068115234375,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.2605769230769231,0.24807692307692308,0.012499999999999989,0.007211538461538438,0.017788461538461538,0.00048828125,0.8627450980392157,duck,3/10,0.005859375,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.34278846153846154,0.3274038461538461,0.015384615384615408,0.003846153846153868,0.027403846153846185,0.0159759521484375,0.673202614379085,duck,7/10,0.1437835693359375,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.5543269230769231,0.5514423076923076,0.002884615384615394,-0.008173076923076922,0.013942307692307684,0.5746192932128906,0.14736842105263157,duck,9/10,0.591796875,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.24450395911864464,0.24615534162707547,-0.001651382508430837,-0.0031647112263825713,-8.244258630499824e-05,0.057464599609375,-0.49523809523809526,product,1/10,0.402252197265625,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.4180055314137334,0.42024786436937484,-0.002242332955641378,-0.0040976627288884645,-0.00034861566505723247,0.03608512878417969,-0.5333333333333333,product,1/2,0.2886810302734375,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.3285886155820197,0.3307125526568673,-0.0021239370748475906,-0.0035829703308694902,-0.0006935911839171006,0.012302398681640625,-0.6190476190476191,product,3/10,0.12302398681640625,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.5040266120095481,0.5011487732384854,0.0028778387710626996,0.0017283770680363777,0.004046320222514222,0.0001163482666015625,0.8857142857142857,product,7/10,0.0015125274658203125,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.6711958143536239,0.6621592647866995,0.009036549566924285,0.007929382188780287,0.010074679334658878,1.9073486328125e-06,1.0,product,9/10,3.814697265625e-05,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,9,0.025825367548440628,0.03105112815629063,-0.005225760607850006,-0.005955548765587091,-0.004562970233472186,0.00390625,-1.0,weather,1/10,0.04296875,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.0971991167454498,0.12769829342772407,-0.030499176682274268,-0.03191646088700798,-0.02915245784150318,1.9073486328125e-06,-1.0,weather,1/2,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.04878676005135827,0.07272301911787354,-0.02393625906651528,-0.024775299812482002,-0.023087848089610598,1.9073486328125e-06,-1.0,weather,3/10,3.814697265625e-05,True,candidate_win,,
