family,dataset,scenario,replicate,fast_cowa_loss,exact_cowa_loss,abs_diff,match
A3,weather,benign_to_malicious,12,0.1869393843914771,0.18693938439147695,1.3877787807814457e-16,True
A3,weather,benign_to_malicious,13,0.19046358785531672,0.19046358785531628,4.440892098500626e-16,True
A3,weather,benign_to_malicious,14,0.1932610366036353,0.1932610366036352,1.1102230246251565e-16,True
A3,weather,benign_to_malicious,15,0.19062358806804997,0.19062358806805024,2.7755575615628914e-16,True
A3,weather,benign_to_malicious,16,0.189180279136143,0.1891802791361431,1.1102230246251565e-16,True
A3,weather,benign_to_malicious,17,0.19237076419521587,0.1923707641952158,8.326672684688674e-17,True
A3,weather,benign_to_malicious,18,0.18934677523165153,0.18934677523165158,5.551115123125783e-17,True
A3,weather,benign_to_malicious,19,0.19310170802626378,0.1931017080262639,1.1102230246251565e-16,True
A3,weather,benign_to_malicious,20,0.19103010559403938,0.19103010559403932,5.551115123125783e-17,True
A3,weather,malicious_to_benign,6,0.023672992977149865,0.023672992977149872,6.938893903907228e-18,True
A3,weather,malicious_to_benign,7,0.02746624198621889,0.027466241986218873,1.734723475976807e-17,True
A3,weather,malicious_to_benign,8,0.030177148973608233,0.03017714897360828,4.85722573273506e-17,True
A3,weather,malicious_to_benign,9,0.022846214658474806,0.022846214658474803,3.469446951953614e-18,True
A3,weather,malicious_to_benign,10,0.020570842686950728,0.02057084268695074,1.3877787807814457e-17,True
