D,m,rep,method,seconds,share_secret,reconstruct,local_add,local_sub,secure_mul,secure_sqr,secure_div,public_mul,public_mul_local,public_mul_rescaled,nonlinear_or_rescaled_calls,high_level_calls
4,20,0,full,0.04967559999977311,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,0,fast,0.001969925000139483,84,172,115,0,80,0,4,0,0,0,84,84
4,20,1,full,0.05092097600027046,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,1,fast,0.0019833439996546076,84,172,115,0,80,0,4,0,0,0,84,84
4,20,2,full,0.04946789199993873,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,2,fast,0.00203192900016802,84,172,115,0,80,0,4,0,0,0,84,84
4,20,3,full,0.04985051699986798,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,3,fast,0.0019866079996972985,84,172,115,0,80,0,4,0,0,0,84,84
4,20,4,full,0.049502272000154335,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,4,fast,0.001994552999804,84,172,115,0,80,0,4,0,0,0,84,84
4,20,5,full,0.0493660600000112,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,5,fast,0.0019880069999089756,84,172,115,0,80,0,4,0,0,0,84,84
4,20,6,full,0.05368377299964777,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,6,fast,0.0019917680001526605,84,172,115,0,80,0,4,0,0,0,84,84
4,20,7,full,0.05090508300008878,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,7,fast,0.0020091950000278302,84,172,115,0,80,0,4,0,0,0,84,84
4,20,8,full,0.04929286400010824,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,8,fast,0.001991615999941132,84,172,115,0,80,0,4,0,0,0,84,84
4,20,9,full,0.053131941000174265,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,9,fast,0.002329345999896759,84,172,115,0,80,0,4,0,0,0,84,84
4,20,10,full,0.056411909999951604,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,10,fast,0.0019616069998846797,84,172,115,0,80,0,4,0,0,0,84,84
4,20,11,full,0.05241350100004638,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,11,fast,0.0023384890000670566,84,172,115,0,80,0,4,0,0,0,84,84
4,20,12,full,0.05067766499996651,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,12,fast,0.002329305999865028,84,172,115,0,80,0,4,0,0,0,84,84
4,20,13,full,0.04979196600015712,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,13,fast,0.001972903000023507,84,172,115,0,80,0,4,0,0,0,84,84
4,20,14,full,0.04905653700006951,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,14,fast,0.0019682980000652606,84,172,115,0,80,0,4,0,0,0,84,84
4,20,15,full,0.049112631999832956,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,15,fast,0.00199862999988909,84,172,115,0,80,0,4,0,0,0,84,84
4,20,16,full,0.050236071000199445,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,16,fast,0.001993818000300962,84,172,115,0,80,0,4,0,0,0,84,84
4,20,17,full,0.049381346000245685,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,17,fast,0.00198387599994021,84,172,115,0,80,0,4,0,0,0,84,84
4,20,18,full,0.049566788999982236,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,18,fast,0.0019962320002377965,84,172,115,0,80,0,4,0,0,0,84,84
4,20,19,full,0.049371333999715716,2224,3572,1945,880,1080,880,264,0,0,0,2224,2224
4,20,19,fast,0.001972756000213849,84,172,115,0,80,0,4,0,0,0,84,84
4,50,0,full,0.12283292499978415,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,0,fast,0.004895434999980353,204,412,295,0,200,0,4,0,0,0,204,204
4,50,1,full,0.13313226299987946,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,1,fast,0.005080765999991854,204,412,295,0,200,0,4,0,0,0,204,204
4,50,2,full,0.12283575200035557,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,2,fast,0.004905564000182494,204,412,295,0,200,0,4,0,0,0,204,204
4,50,3,full,0.12295768400008456,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,3,fast,0.0048671749996174185,204,412,295,0,200,0,4,0,0,0,204,204
4,50,4,full,0.12260450800022227,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,4,fast,0.004850540999996156,204,412,295,0,200,0,4,0,0,0,204,204
4,50,5,full,0.12370307399987723,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,5,fast,0.005109757000354875,204,412,295,0,200,0,4,0,0,0,204,204
4,50,6,full,0.12295678899999984,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,6,fast,0.004834501999994245,204,412,295,0,200,0,4,0,0,0,204,204
4,50,7,full,0.1243443949997527,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,7,fast,0.004846008000185975,204,412,295,0,200,0,4,0,0,0,204,204
4,50,8,full,0.13305531400010295,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,8,fast,0.0061195230000521406,204,412,295,0,200,0,4,0,0,0,204,204
4,50,9,full,0.14392382699998052,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,9,fast,0.005320225999639661,204,412,295,0,200,0,4,0,0,0,204,204
4,50,10,full,0.1260583419998511,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,10,fast,0.004813405999811948,204,412,295,0,200,0,4,0,0,0,204,204
4,50,11,full,0.12704023300011613,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,11,fast,0.005578457999945385,204,412,295,0,200,0,4,0,0,0,204,204
4,50,12,full,0.14084420499966654,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
