pairing_id,method,input_identity_match,paper_metric_old,paper_metric_geometry,paper_metric_abs_diff,tau_dependency,final_disposition,evidence_path
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,no_cw,True,0.8323282438870773,0.8346038197705945,0.0022755758835172335,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,no_hr,True,0.8197762444539132,0.8197762444539132,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,cowa,True,0.8234884578419746,0.814885074966341,0.008603382875633558,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,lir_pptd,True,0.8329420818893352,0.8272550231258755,0.0056870587634596514,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,no_cw,True,0.8329420818893352,0.8272550231258755,0.0056870587634596514,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,no_hr,True,0.8197762444539132,0.8197762444539132,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,cowa,True,0.8155416788912176,0.8047618238859953,0.010779855005222383,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,lir_pptd,True,0.8327428837093787,0.8309980186157245,0.0017448650936541243,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,no_cw,True,0.8327428837093787,0.8309980186157245,0.0017448650936541243,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,no_hr,True,0.8197762444539132,0.8197762444539132,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=15|subset=f04fd2c4700e0f4063c6a61887db686f7b5649cb0b34340f72c90887719c8593,cowa,True,0.8149430588169744,0.8038046942928107,0.011138364524163724,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
