D,rho,support_regime,legacy_loss,geometry_loss,loss_diff,ci_low,ci_high,p_exact,rank_biserial_loss,legacy_Accuracy,geometry_Accuracy,legacy_MacroF1,geometry_MacroF1,legacy_q_correct,geometry_q_correct,legacy_q_wrong,geometry_q_wrong,legacy_q_separation,geometry_q_separation,legacy_delta_c,geometry_delta_c,legacy_A_H,geometry_A_H,legacy_A_M,geometry_A_M,legacy_A_M_over_A_H,geometry_A_M_over_A_H,legacy_tie_rate,geometry_tie_rate,legacy_score_margin,geometry_score_margin,failure_count,n,holm_p
4,0.7,binary_support,0.7940870464354151,0.6554021788525579,-0.1386848675828572,-0.1638754727590691,-0.1113962611513027,1.9073486328125e-06,-1.0,0.2059129535645849,0.3445978211474421,0.2044075697007391,0.3431723078791292,1.0,1.0,0.2857142857142857,0.1666666666666667,0.7142857142857143,0.8333333333333333,0.4319566213609629,0.48163384864572,0.3522346516392238,0.3153651457379812,0.2756289103132826,0.219191956337655,0.8188243760353986,0.7944021602155854,0.0,0.0,0.4379991400275846,0.6630586735599305,0,20,5.7220458984375e-05
4,0.7,full_support,0.7153561981384776,0.5720194456511066,-0.1433367524873709,-0.1654484134390469,-0.1193668496044846,1.9073486328125e-06,-1.0,0.2846438018615224,0.4279805543488933,0.2830896132553088,0.4258058354199184,1.0,1.0,0.2857142857142857,0.1666666666666667,0.7142857142857143,0.8333333333333333,0.4319566213609629,0.48163384864572,0.3411909075440669,0.309736512240836,0.2644986252862523,0.2050015567559872,0.8261708799644042,0.8051771507767725,0.0,0.0,0.3889847156149135,0.6368860198065069,0,20,5.7220458984375e-05
8,0.3,binary_support,0.0026113436532414,0.0015640796862665,-0.0010472639669749,-0.0020892198936314,-0.0002577319587628,0.125,-1.0,0.9973886563467586,0.9984359203137334,0.9975629548142434,0.9984998918800572,1.0,1.0,0.4444444444444445,0.1666666666666666,0.5555555555555555,0.8333333333333333,0.35971146915765,0.4851266074408848,0.5673705681490466,0.5257928565149819,0.2563631313554461,0.0836216245919375,0.4567420527250285,0.1615901323510185,0.0007785652920962,0.0007785652920962,0.5508201133155507,0.846924249151364,0,20,1.0
8,0.3,full_support,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444445,0.1666666666666666,0.5555555555555555,0.8333333333333333,0.35971146915765,0.4851266074408848,0.5710948894504516,0.5301395665980657,0.2448971101796065,0.0817935790918855,0.4333131454459527,0.1566045972167855,0.0,0.0,0.6487775659302097,0.8824140513428427,0,20,1.0
8,0.5,binary_support,0.2331301356324815,0.1437148916726167,-0.0894152439598647,-0.1065868580169776,-0.0729739746820101,1.9073486328125e-06,-1.0,0.7668698643675185,0.8562851083273832,0.7627656306303485,0.8521850037272791,1.0,1.0,0.4444444444444445,0.1666666666666666,0.5555555555555556,0.8333333333333333,0.3568828371769658,0.4814754614008291,0.5225117118008862,0.4703466077638767,0.3016648880386683,0.1200807234906458,0.5863042864342283,0.2685139295006439,0.0115367941648756,0.0115367941648756,0.246123381430081,0.6998741898194674,0,20,5.7220458984375e-05
8,0.5,full_support,0.0739282301800794,0.0502004555492025,-0.0237277746308768,-0.0330358774883706,-0.0148738408793747,6.103515625e-05,-0.9607843137254902,0.9260717698199208,0.9497995444507976,0.9241766697016722,0.9483263227020368,1.0,1.0,0.4444444444444445,0.1666666666666666,0.5555555555555556,0.8333333333333333,0.3568828371769658,0.4814754614008291,0.5260733886369758,0.4906269254122398,0.2867099989787999,0.0992845024616195,0.5537730728972906,0.2096677509201535,0.0114844781617809,0.0114844781617809,0.3119425447942447,0.7346178278236665,0,20,0.00091552734375
8,0.7,binary_support,0.9344523144969172,0.6554021788525579,-0.2790501356443592,-0.341192100165869,-0.2157209372018037,1.9073486328125e-06,-1.0,0.0655476855030828,0.3445978211474421,0.0647531363737481,0.3418386459572815,1.0,1.0,0.4444444444444445,0.1666666666666667,0.5555555555555555,0.8333333333333333,0.3572397314931935,0.48163384864572,0.4415224632957351,0.3153651457379812,0.3602931214380372,0.219191956337655,0.8289102467905305,0.7944021602155854,0.0,0.0,0.3497593663451749,0.6630586735599305,0,20,5.7220458984375e-05
8,0.7,full_support,0.8932039111312102,0.542532103320711,-0.3506718078104991,-0.41530331671993,-0.2839891448521885,1.9073486328125e-06,-1.0,0.1067960888687898,0.457467896679289,0.1057247282464179,0.4536944348616634,1.0,1.0,0.4444444444444445,0.1666666666666667,0.5555555555555555,0.8333333333333333,0.3572397314931935,0.48163384864572,0.4245306149389291,0.3105268366600346,0.3523207258120422,0.2005673358576471,0.8459205545578617,0.8020156401007293,0.0,0.0,0.2798655440853272,0.63143113277499,0,20,5.7220458984375e-05
16,0.3,binary_support,0.0041765990102032,0.0015640796862665,-0.0026125193239367,-0.0039296609758538,-0.0013049531812407,0.00390625,-1.0,0.9958234009897968,0.9984359203137334,0.996055501660808,0.9984452934771596,1.0,1.0,0.6153846153846152,0.1666666666666666,0.3846153846153847,0.8333333333333333,0.2663485297892935,0.4851266074408848,0.6038600127403113,0.5257928565149819,0.3851912501558711,0.0836216245919375,0.6421525104372753,0.1615901323510185,0.0007785652920962,0.0007785652920962,0.4217155382173404,0.846924249151364,0,20,0.05078125
16,0.3,full_support,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846152,0.1666666666666666,0.3846153846153847,0.8333333333333333,0.2663485297892935,0.4851266074408848,0.6040999409339294,0.5304681705903282,0.3724630056740105,0.0816760951241169,0.6206942392363475,0.1562738744368165,0.0,0.0,0.5350361705720441,0.8854210478063849,0,20,1.0
