dataset,rho,calibration_epoch,task_index,task_id,method,display_name,quantity,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
dog,7/10,15,246,dog:375,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.05503609809956459,0.050428153120846066,0.05967893726410301
dog,7/10,15,246,dog:375,no_eg,No-EG,mean_reputation_honest,20,0.29103747842223554,0.28383709681729935,0.29852965507034523
dog,7/10,15,246,dog:375,no_eg,No-EG,mean_reputation_malicious,20,0.5651817201095426,0.5609892030682023,0.5690748312965119
dog,7/10,15,246,dog:375,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.274144241687307,-0.28283999482818994,-0.26516544267790965
dog,7/10,16,256,dog:700,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.500738511392782,0.49557169692470016,0.5060051764481639
dog,7/10,16,256,dog:700,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.439134519187738,0.4374522407569017,0.4407914030737731
dog,7/10,16,256,dog:700,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.06160399220504398,0.05694810434992831,0.06633085781170427
dog,7/10,16,256,dog:700,no_eg,No-EG,mean_reputation_honest,20,0.2941949448667111,0.28606949660969727,0.30266962504515776
dog,7/10,16,256,dog:700,no_eg,No-EG,mean_reputation_malicious,20,0.5572418296487102,0.55358422197058,0.5609250815615742
dog,7/10,16,256,dog:700,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.263046884781999,-0.2720171636353544,-0.25400136919054966
dog,7/10,17,270,dog:80,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.49902120957562607,0.49373455547790335,0.5044029770261568
dog,7/10,17,270,dog:80,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4411542951139503,0.4393574178564658,0.44291543949237766
dog,7/10,17,270,dog:80,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.05786691446167572,0.05289600107653825,0.06251293181597094
dog,7/10,17,270,dog:80,no_eg,No-EG,mean_reputation_honest,20,0.2959677238767545,0.2870440397088736,0.3053224572886989
dog,7/10,17,270,dog:80,no_eg,No-EG,mean_reputation_malicious,20,0.5644419123943079,0.5600669124008332,0.569137245544395
dog,7/10,17,270,dog:80,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2684741885175534,-0.278474466387535,-0.25740030328546826
dog,7/10,18,274,dog:84,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5018794600040799,0.4969788132721866,0.5069653653659201
dog,7/10,18,274,dog:84,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.43617802450445253,0.43438526394290206,0.43791906446126033
dog,7/10,18,274,dog:84,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.06570143549962731,0.06109131841521754,0.07028518094917309
dog,7/10,18,274,dog:84,no_eg,No-EG,mean_reputation_honest,20,0.30158841065486225,0.29283829381801424,0.31093774113353145
dog,7/10,18,274,dog:84,no_eg,No-EG,mean_reputation_malicious,20,0.5572937836937147,0.5529106037957567,0.5621796638613543
dog,7/10,18,274,dog:84,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2557053730388525,-0.26578131165906543,-0.24474709070443312
dog,7/10,19,294,dog:583,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5014998796884232,0.496404670855639,0.5071330734201053
dog,7/10,19,294,dog:583,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4357464345937977,0.43378422665244665,0.4375495955398766
dog,7/10,19,294,dog:583,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.06575344509462559,0.06118419631894743,0.07037141863611344
dog,7/10,19,294,dog:583,no_eg,No-EG,mean_reputation_honest,20,0.2959103515283199,0.28712991620975936,0.3056224929722131
dog,7/10,19,294,dog:583,no_eg,No-EG,mean_reputation_malicious,20,0.5686415854051196,0.5630057105958965,0.574246217449311
dog,7/10,19,294,dog:583,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.27273123387679965,-0.2842574366305966,-0.25951796729217125
dog,7/10,20,303,dog:241,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5046931615138441,0.4998713245251009,0.5098239625143919
dog,7/10,20,303,dog:241,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.43142084616608734,0.42928380365660507,0.43339325832002906
dog,7/10,20,303,dog:241,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.07327231534775686,0.0689980739998823,0.07745752134998608
dog,7/10,20,303,dog:241,no_eg,No-EG,mean_reputation_honest,20,0.2991896444406633,0.28981208817629855,0.3094277151731481
dog,7/10,20,303,dog:241,no_eg,No-EG,mean_reputation_malicious,20,0.5641668468268974,0.5586088825728248,0.5696082544530641
dog,7/10,20,303,dog:241,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2649772023862341,-0.2770788219847741,-0.2515039999306936
dog,7/10,21,330,dog:452,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5081819183421189,0.5032630862168017,0.5133339772046596
dog,7/10,21,330,dog:452,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4275000813543067,0.42537340615266195,0.42954697153272126
dog,7/10,21,330,dog:452,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.08068183698781212,0.07606357279785417,0.08493548482418527
dog,7/10,21,330,dog:452,no_eg,No-EG,mean_reputation_honest,20,0.2855027471745759,0.2789913779436693,0.2927199608812217
dog,7/10,21,330,dog:452,no_eg,No-EG,mean_reputation_malicious,20,0.584008038693729,0.5782966009200201,0.5893459963173538
dog,7/10,21,330,dog:452,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.29850529151915306,-0.30839634688170725,-0.2877608191543654
dog,7/10,22,350,dog:182,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5079693982022304,0.5029552178711335,0.5133591074745146
dog,7/10,22,350,dog:182,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.42424848732726017,0.42209790293873134,0.42631089473765443
dog,7/10,22,350,dog:182,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.08372091087497022,0.07914405674828774,0.08825293448660262
dog,7/10,22,350,dog:182,no_eg,No-EG,mean_reputation_honest,20,0.2780168224572877,0.27101513962919604,0.2858696353147987
dog,7/10,22,350,dog:182,no_eg,No-EG,mean_reputation_malicious,20,0.5857245163426013,0.5812280256083628,0.5902229554585657
dog,7/10,22,350,dog:182,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.3077076938853136,-0.3173731326968081,-0.2970483810199429
dog,7/10,23,407,dog:74,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5129670124828175,0.5080113191276181,0.5181431580534388
dog,7/10,23,407,dog:74,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.42002286840986286,0.4177466810708656,0.42213562644225133
dog,7/10,23,407,dog:74,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.09294414407295462,0.08863707041498708,0.09729551200697595
dog,7/10,23,407,dog:74,no_eg,No-EG,mean_reputation_honest,20,0.26713208996647353,0.25983516637322873,0.2748948018495081
dog,7/10,23,407,dog:74,no_eg,No-EG,mean_reputation_malicious,20,0.5969103348440502,0.5914363149963605,0.6019551474861629
dog,7/10,23,407,dog:74,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.32977824487757673,-0.34086785212559706,-0.3181787001291856
dog,7/10,24,427,dog:660,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5147536453270599,0.5099566029867099,0.5197803970236944
dog,7/10,24,427,dog:660,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4158577327815753,0.41349552755882335,0.418079444070387
dog,7/10,24,427,dog:660,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.09889591254548466,0.09463901468263285,0.10326699464822665
dog,7/10,24,427,dog:660,no_eg,No-EG,mean_reputation_honest,20,0.2629940337716895,0.25577142978545253,0.2704747836869487
dog,7/10,24,427,dog:660,no_eg,No-EG,mean_reputation_malicious,20,0.5999096973190287,0.595828935082171,0.6042254108217858
dog,7/10,24,427,dog:660,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.3369156635473392,-0.34655034971841175,-0.32691261280483797
dog,7/10,25,428,dog:769,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5144847447138313,0.510021085405877,0.5190958366950414
