seed,family,attack,rho,endpoint,lir_pptd_primary_loss,mean_vote_primary_loss,delta_lir_minus_mean,final_reputation_gap,effective_attacked_report_fraction,calibration_attacked_count,on_off_starting_phase
4017,synthetic_num_longitudinal,persistent,9/10,MAE,0.33238160771614195,0.32147137105246692,0.010910236663675024,0.24752627648564457,0.9,5,not_applicable
4018,synthetic_num_longitudinal,persistent,9/10,MAE,0.31912298954039296,0.31095123270026904,0.0081717568401239225,0.27681816700462597,0.9,5,not_applicable
4019,synthetic_num_longitudinal,persistent,9/10,MAE,0.33109072500971017,0.32272756454165475,0.0083631604680554225,0.2992767037467323,0.9,5,not_applicable
4020,synthetic_num_longitudinal,persistent,9/10,MAE,0.32538575195068683,0.31597003723875442,0.0094157147119324064,0.24644678414299725,0.9,5,not_applicable
4001,synthetic_num_longitudinal,random,0,MAE,0.0090461707245744785,0.0090424097109854365,0.0000037610135890420104,,0.0,0,not_applicable
4002,synthetic_num_longitudinal,random,0,MAE,0.0087485495656066285,0.0087474329602346637,0.0000011166053719647454,,0.0,0,not_applicable
4003,synthetic_num_longitudinal,random,0,MAE,0.0087399589574200366,0.0087353745887965685,0.0000045843686234681200,,0.0,0,not_applicable
4004,synthetic_num_longitudinal,random,0,MAE,0.0087621470420648813,0.0087625874480840193,-4.4040601913800175e-7,,0.0,0,not_applicable
4005,synthetic_num_longitudinal,random,0,MAE,0.0091401742959366956,0.0091443257606073866,-0.0000041514646706909909,,0.0,0,not_applicable
4006,synthetic_num_longitudinal,random,0,MAE,0.0099645721602935314,0.0099613553839250598,0.0000032167763684715490,,0.0,0,not_applicable
4007,synthetic_num_longitudinal,random,0,MAE,0.0092745414113269045,0.0092765717222688254,-0.0000020303109419209523,,0.0,0,not_applicable
4008,synthetic_num_longitudinal,random,0,MAE,0.0093640496332285644,0.0093603498791755532,0.0000036997540530111854,,0.0,0,not_applicable
4009,synthetic_num_longitudinal,random,0,MAE,0.0089067053215706097,0.0089103406962483308,-0.0000036353746777210990,,0.0,0,not_applicable
4010,synthetic_num_longitudinal,random,0,MAE,0.0089484713023642439,0.0089534207053403162,-0.0000049494029760723134,,0.0,0,not_applicable
