dataset,rho,comparator,selector_seed_index,n_malicious_subsets,mean_loss_delta_lir_minus_comparator,median_loss_delta_lir_minus_comparator,within_seed_subset_sd,paper_metric
dog,3/10,pptd_liang,9,20,-0.04640987753059951,-0.035584591779991126,0.026018727788617017,0.7441859778733776
dog,3/10,pptd_liang,10,20,-0.036268266714531136,-0.03206905939820004,0.018870146177762476,0.7441859778733776
dog,3/10,pptd_liang,11,20,-0.03265636244908794,-0.03053715716118144,0.015785290650883986,0.7441859778733776
dog,3/10,pptd_liang,12,20,-0.04974095210819998,-0.04642748083715548,0.023686356217231693,0.7441859778733776
dog,3/10,pptd_liang,13,20,-0.037585112187484074,-0.030027215268779606,0.01867888531617647,0.7441859778733776
dog,3/10,pptd_liang,14,20,-0.03764170965673207,-0.03343259447592223,0.0190217222540431,0.7441859778733776
dog,3/10,pptd_liang,15,20,-0.03629532458004047,-0.030231211642357092,0.020624773026188745,0.7441859778733776
dog,3/10,pptd_liang,16,20,-0.04853397160274879,-0.04351268806430719,0.022439280007910057,0.7441859778733776
dog,3/10,pptd_liang,17,20,-0.023971358200501298,-0.021576881526660985,0.01425512577885332,0.7441859778733776
dog,3/10,pptd_liang,18,20,-0.042695519380980235,-0.03836200454839245,0.022207185152318835,0.7441859778733776
dog,3/10,pptd_liang,19,20,-0.03420034214606783,-0.028242679279758542,0.02006686846495357,0.7441859778733776
dog,3/10,pptd_liang,20,20,-0.03168788643118522,-0.028324393325898367,0.017838623928808726,0.7441859778733776
dog,3/10,tqpp_liu,1,20,-0.0322774867902112,-0.0309700499756268,0.016674886475548916,0.7441859778733776
dog,3/10,tqpp_liu,2,20,-0.027792345552385266,-0.02630205010027903,0.015813602604414816,0.7441859778733776
dog,3/10,tqpp_liu,3,20,-0.0299655760460042,-0.026050655809716494,0.010717419150663167,0.7441859778733776
dog,3/10,tqpp_liu,4,20,-0.048026985057877954,-0.04378751141086723,0.02170818376299134,0.7441859778733776
dog,3/10,tqpp_liu,5,20,-0.03487966287318724,-0.029766009790712034,0.016360464357824712,0.7441859778733776
dog,3/10,tqpp_liu,6,20,-0.02831558276901151,-0.026404011293042984,0.013535467452697871,0.7441859778733776
dog,3/10,tqpp_liu,7,20,-0.03765664942558373,-0.03566033450380707,0.01541451125371332,0.7441859778733776
dog,3/10,tqpp_liu,8,20,-0.04362699237811466,-0.03546709174538565,0.019546836763745277,0.7441859778733776
dog,3/10,tqpp_liu,9,20,-0.04293324312236143,-0.03711197073394873,0.02141934376417219,0.7441859778733776
dog,3/10,tqpp_liu,10,20,-0.032832031489053295,-0.03155938826547261,0.01352620258290142,0.7441859778733776
dog,3/10,tqpp_liu,11,20,-0.02799166050526126,-0.027979992389495723,0.01226062974346461,0.7441859778733776
dog,3/10,tqpp_liu,12,20,-0.045728744884785594,-0.041455495286934985,0.019989608545713997,0.7441859778733776
dog,3/10,tqpp_liu,13,20,-0.0334771913544218,-0.03012879948974506,0.014664620897429493,0.7441859778733776
dog,3/10,tqpp_liu,14,20,-0.034105725195914746,-0.032098732376514116,0.015949095722408525,0.7441859778733776
dog,3/10,tqpp_liu,15,20,-0.03311761973172801,-0.02875236226099448,0.015488330251051513,0.7441859778733776
dog,3/10,tqpp_liu,16,20,-0.0440999037347616,-0.04136470777420109,0.017073368089256077,0.7441859778733776
dog,3/10,tqpp_liu,17,20,-0.020270421623767416,-0.021638979922572465,0.010685506304751386,0.7441859778733776
dog,3/10,tqpp_liu,18,20,-0.03882709009061393,-0.033647500177135026,0.019249777394244234,0.7441859778733776
dog,3/10,tqpp_liu,19,20,-0.030909965066013435,-0.029654854164233357,0.015067287237154243,0.7441859778733776
dog,3/10,tqpp_liu,20,20,-0.028533601281482336,-0.02643926900854182,0.013831206924975487,0.7441859778733776
dog,7/10,crh,1,20,-0.11077694035329118,-0.11241268724488379,0.01928735484354814,0.2847614225524373
dog,7/10,crh,2,20,-0.08471436547238921,-0.08275938144425737,0.017825097685698996,0.2847614225524373
dog,7/10,crh,3,20,-0.09194064510713965,-0.09147824942619642,0.01927707678028244,0.2847614225524373
dog,7/10,crh,4,20,-0.1432517806625552,-0.15100058636846064,0.02631544201251822,0.2847614225524373
dog,7/10,crh,5,20,-0.10980313193853544,-0.11127982312039686,0.02192027336780315,0.2847614225524373
dog,7/10,crh,6,20,-0.0773228337289602,-0.0732751130481652,0.020547709966610945,0.2847614225524373
dog,7/10,crh,7,20,-0.10031892519695633,-0.09764743240446194,0.021233016569820632,0.2847614225524373
dog,7/10,crh,8,20,-0.13021328469729332,-0.1321254384274726,0.026093098894124648,0.2847614225524373
dog,7/10,crh,9,20,-0.1232777330931881,-0.12585564245936198,0.023323822944634188,0.2847614225524373
dog,7/10,crh,10,20,-0.09377897054797764,-0.0952561709522054,0.01914094108597073,0.2847614225524373
dog,7/10,crh,11,20,-0.08528709247868935,-0.08533321892812357,0.018994499952043244,0.2847614225524373
dog,7/10,crh,12,20,-0.14190430056682263,-0.14208475714265872,0.02474405246515235,0.2847614225524373
dog,7/10,crh,13,20,-0.08803803311562428,-0.09083797498641955,0.016735362005623408,0.2847614225524373
