dataset,rho,comparator,selector_seed_n,mean_loss_delta_lir_minus_comparator,median_seed_mean_delta,between_seed_sd,bootstrap95_low_seed_unit,bootstrap95_high_seed_unit,exact_seed_level_sign_flip_p,holm_adjusted_seed_level_p,seed_mean_wins,seed_mean_ties,seed_mean_losses,mean_direction,holm_direction,paper_metric
product,9/10,pptd_liang,20,-0.14542616348825363,-0.1459776128798318,0.007266172896866194,-0.14848130955855293,-0.14225709396706823,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.3657112371121134
product,9/10,tqpp_liu,20,-0.14533853997201135,-0.14589109617408322,0.007269268845278676,-0.14836087282700092,-0.14213413520083212,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.3657112371121134
weather,1/10,crh,20,0.005256786839549811,0.005259334911690918,0.00033028934246539127,0.00511175509864257,0.005398236681179287,1.9073486328125e-06,3.814697265625e-05,0,0,20,lir_loss,lir_loss,0.024227832435606864
weather,1/10,pptd_liang,20,0.0009313648486443829,0.0009345655478664111,0.0003237414636277687,0.0007930498913966841,0.0010710032268884,1.9073486328125e-06,3.814697265625e-05,0,0,20,lir_loss,lir_loss,0.024227832435606864
weather,1/10,tqpp_liu,20,-0.05017542870139159,-0.05018413729262449,0.00032885045522653875,-0.050318239208876916,-0.05003563172061474,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.024227832435606864
weather,1/2,crh,20,-0.06940117568737612,-0.06913633582333341,0.002830826459144951,-0.0705938851094517,-0.06818966335460189,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.12322462124973992
weather,1/2,pptd_liang,20,-0.05845626435423371,-0.05823788774920872,0.002855995049579232,-0.0596862906560834,-0.0572310661821111,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.12322462124973992
weather,1/2,tqpp_liu,20,0.06974313526966992,0.06990581769746863,0.0031822588680859368,0.06837130803335742,0.07109331392860384,1.9073486328125e-06,3.814697265625e-05,0,0,20,lir_loss,lir_loss,0.12322462124973992
weather,3/10,crh,20,-0.001227029615333375,-0.0009349712865129277,0.0014505415952445226,-0.0018402675285068503,-0.0005988844901702531,0.0017795562744140625,0.003559112548828125,17,0,3,lir_win,lir_win,0.05286282906501787
weather,3/10,pptd_liang,20,-0.01746920154950035,-0.01721211053877974,0.0014086061235063765,-0.018055249467226454,-0.01686765621803577,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.05286282906501787
weather,3/10,tqpp_liu,20,-0.0009647697184292283,-0.0006391968180540084,0.0015180301724418061,-0.0016009093781156956,-0.00031189891286592994,0.011705398559570312,0.03511619567871094,14,0,6,lir_win,lir_win,0.05286282906501787
weather,7/10,crh,20,-0.08291105673084696,-0.08257274242920447,0.0030667719585335514,-0.08421880536431665,-0.08159933919147962,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.1595154677307384
weather,7/10,pptd_liang,20,-0.06589002495494334,-0.06555609909149816,0.0031148424439934193,-0.06720357245724298,-0.06458624571965864,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.1595154677307384
weather,7/10,tqpp_liu,20,0.1013729810453046,0.1016331443641886,0.003534937576656557,0.09983359477475114,0.10287103218968248,1.9073486328125e-06,3.814697265625e-05,0,0,20,lir_loss,lir_loss,0.1595154677307384
weather,9/10,crh,20,-0.03872640882320287,-0.03866544295882302,0.0014827518993183284,-0.03936258342117511,-0.03808609991990399,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.24923881960971245
weather,9/10,pptd_liang,20,-0.03843568338952275,-0.038396231470568726,0.00148289009586114,-0.03906355442274885,-0.03781237921062795,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.24923881960971245
weather,9/10,tqpp_liu,20,0.11169357756007121,0.11178910703401057,0.0017707913702750178,0.11094541300759006,0.11243892265803543,1.9073486328125e-06,3.814697265625e-05,0,0,20,lir_loss,lir_loss,0.24923881960971245
