dataset,rho,n,comparator,candidate_mean_loss,comparator_mean_loss,mean_loss_delta_lir_minus_comparator,wins,ties,losses,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_adjusted_p,holm_significant,direction,holm_direction
duck,9/10,20,tqpp_liu,0.7668269230769231,0.7048076923076924,0.062019230769230764,3,0,17,0.03365384615384615,0.09326923076923076,4329898547405967315,0.00028228759765625,0.8571428571428571,B1|tqpp_liu|20-cells,0.00197601318359375,True,lir_loss,lir_loss
dog,1/10,20,crh,0.17598711116756138,0.1853409839641889,-0.009353872796627503,17,0,3,-0.012505016592943414,-0.006174623337852103,2954378871940224131,3.24249267578125e-05,-0.9333333333333333,B1|crh|20-cells,0.0002269744873046875,True,lir_win,lir_win
dog,1/10,20,pptd_liang,0.17598711116756138,0.18540106640106044,-0.009413955233499059,17,0,3,-0.012665578850638251,-0.006257842300021876,12819799307389466077,3.24249267578125e-05,-0.9333333333333333,B1|pptd_liang|20-cells,0.000194549560546875,True,lir_win,lir_win
dog,1/10,20,tqpp_liu,0.17598711116756138,0.19133186456452975,-0.015344753396968372,19,0,1,-0.01910989204064055,-0.01142380952934157,10058837078940814594,9.5367431640625e-06,-0.9619047619047619,B1|tqpp_liu|20-cells,8.58306884765625e-05,True,lir_win,lir_win
dog,3/10,20,crh,0.2445972756710702,0.2860245851724706,-0.04142730950140037,20,0,0,-0.05073448549557117,-0.03297880656245617,9200802879598379488,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,3/10,20,pptd_liang,0.2445972756710702,0.2861452477152402,-0.04154797204417,20,0,0,-0.05066006119984095,-0.03293751109940894,7516552439257175278,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,3/10,20,tqpp_liu,0.2445972756710702,0.28287601253042677,-0.038278736859356566,20,0,0,-0.045619133670037185,-0.031126542523503584,4877817218211299404,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,1/2,20,crh,0.41065705849890827,0.5291638501730024,-0.11850679167409411,20,0,0,-0.13039932027578227,-0.10652211516824041,15569403802231614555,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,1/2,20,pptd_liang,0.41065705849890827,0.529286889475648,-0.11862983097673961,20,0,0,-0.13086389399030493,-0.1068329448328319,3914766405877788476,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,1/2,20,tqpp_liu,0.41065705849890827,0.5104372875642805,-0.09978022906537222,20,0,0,-0.11090457163741332,-0.08885988729271072,3050975643974716198,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,7/10,20,crh,0.6720027106281552,0.7883634706828608,-0.11636076005470568,20,0,0,-0.1265095032506117,-0.10532595012406028,9538304958129649264,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,7/10,20,pptd_liang,0.6720027106281552,0.7884241187812129,-0.11642140815305772,20,0,0,-0.12639438927747948,-0.10577615123483625,6734787609820000812,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,7/10,20,tqpp_liu,0.6720027106281552,0.7690058351500331,-0.09700312452187783,20,0,0,-0.10497570408461084,-0.08779473197383925,1113408467710510853,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,9/10,20,crh,0.8672956168832799,0.8971714035679128,-0.029875786684632855,20,0,0,-0.03628253255637111,-0.023949985571685522,9507288967760243008,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,9/10,20,pptd_liang,0.8672956168832799,0.897280206914318,-0.029984590031038,20,0,0,-0.03642305956233817,-0.024098627509854552,688085899731278233,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
dog,9/10,20,tqpp_liu,0.8672956168832799,0.885457766024784,-0.018162149141503974,20,0,0,-0.023325062823327428,-0.013605357405087469,313714335088139897,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
weather,1/10,9,crh,0.026135729507002044,0.021070585623327576,0.00506514388367447,0,0,9,0.0036119604333476637,0.006767199936810311,1217274131826027675,0.00390625,1.0,B1|crh|20-cells,0.01953125,True,lir_loss,lir_loss
weather,1/10,9,pptd_liang,0.026135729507002044,0.025389377148406448,0.0007463523585955994,4,0,5,-0.00031915249623652015,0.0020144342699373674,12230086059063411208,0.29296875,0.37777777777777777,B1|pptd_liang|20-cells,0.87890625,False,lir_loss,not_significant
weather,1/10,9,tqpp_liu,0.026135729507002044,0.07640631297212126,-0.050270583465119215,8,0,1,-0.059149677912867724,-0.0345684786806456,2289377634029663223,0.0078125,-0.9555555555555556,B1|tqpp_liu|20-cells,0.0390625,True,lir_win,lir_win
weather,3/10,20,crh,0.053985505764184226,0.057824290490497955,-0.003838784726313727,13,0,7,-0.006953091809499768,-0.0008776629531344713,8562199023341678679,0.02799224853515625,-0.49523809523809526,B1|crh|20-cells,0.08397674560546875,False,lir_win,not_significant
